S.no.,Event Name, Speaker Name, Display Pic url,Designation, Company, Short Bio, City, Country, Linkedin, Twitter, Wikipedia, Facebook, Website
1,AI & Big Data Expo,Ankur Bhan,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Nokia.jpg,Global Head of Nokia WING ,Nokia,Ankur Bhan is the creator and Global Head of Nokia’s Worldwide IoT network grid (WING) business line which provides a one stop managed service for all IoT needs of Operators and Enterprise customers.,Not Available,United Arab Emirates,https://www.linkedin.com/in/ankur-bhan-6030041/,https://twitter.com/ankurbhan?lang=en,https://en.wikipedia.org/wiki/Nokia,https://www.facebook.com/public/Ankur-Bhan,https://www.nokia.com/
2,AI & Big Data Expo,James Swanson,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Jim-Swanson.jpg,CIO and Head of Digital Transformation,Bayer Crop Science,"James (Jim) Swanson serves as a member of the Executive Leadership Team and as Chief Information Officer (CIO) and Head of Digital Transformation for the Crop Science division of Bayer. Based in Monheim, Germany, Swanson leads teams across the world using digital innovation and data science to transform and deliver world-class products and services sustainably.", North Rhine-Westphalia, Germany,https://www.linkedin.com/in/jimdswanson/,https://www.bayer.com/en/james-swanson.aspx,https://en.wikipedia.org/wiki/Bayer,https://www.facebook.com/public/James-Swanson,https://www.cropscience.bayer.com/en
3,AI & Big Data Expo,Dr Katie Russell,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Katie-Russell.jpg,Head of Data & Analytics,OVO Energy ,"Katie Russell is Head of Data & Analytics at OVO Energy, leading a team focused on deriving insights to inform and inspire action – for customers and for OVO as a business. As part of a technology led business, leveraging data using artificial intelligence keeps OVO truly innovative and delivering the best possible service for our customers.",Reading, United Kingdom,https://uk.linkedin.com/in/katie-russell-60249b22,https://uk.linkedin.com/in/katie-russell-60249b22,https://en.wikipedia.org/wiki/Ovo_Energy,https://www.facebook.com/public/Katie-Russell,https://www.ovoenergy.com/
4,AI & Big Data Expo,Javier Campos,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Hello.png,Head of DataLabs,Experian,"Javier Campos is the Head of the Experian DataLabs for UK&I and EMEA.  He oversees innovation with emphasis on the development of new products and services. Pioneering application of Artificial Intelligence in mobile, voice, fraud, credit, marketing, social media, digital advertising and healthcare. Javier is also Advisor to Fenestra, that provides the global advertising market with a new platform using distributed ledger technology. He is a frequent speaker at industry conferences. Javier has 26+ years’ experience globally within the Finance, AI, Market Research, Media and Technology fields including serving at Global Chief Technology Officer at Kantar-WPP, Havas Media and CIO at GroupM-WPP.",Not Available,United Kingdom,https://uk.linkedin.com/in/camposjavier,https://uk.linkedin.com/in/camposjavier,https://en.wikipedia.org/wiki/Experian,https://www.facebook.com/public/Javier-Campos,www.experian.in/
5,AI & Big Data Expo,Gil Adato,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/ph.jpg,"Vice President, Digital Health - Head of New Business Development & Connected Value Propositions",Philips ,"Gil is an alumni of the University of Michigan (MBA), The Technion (BSc EE), and the 8200 Israeli Elite Intelligence Unit, with over 17 years of diverse experience in Business & Technology Innovation in high-tech & healthcare industries in Israel, the US, South Korea & the Netherlands, in both large corporates (Samsung, Philips) and Israeli startups.",Amsterdam Area, Netherlands,https://nl.linkedin.com/in/giladato,https://nl.linkedin.com/in/giladato,https://en.wikipedia.org/wiki/Philips,https://www.facebook.com/gil.adato.92,https://www.philips.co.in/
6,AI & Big Data Expo,Norman Stürtz,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Norman_Stuertz_2019.jpg,"Divisional CDO, Credit Suisse (Schweiz) AG",Credit Suisse,"Norman Stürtz started his career with JPMorgan in Frankfurt and London, where he gained experience in the short term securities, treasury and foreign exchange business in mid- and front-office roles. Norman continued his career in consulting with BearingPoint and Capgemini and projects in London, Munich, Madrid and Vienna on system and process topics for trading, asset management and private banking. Since 2007 Norman is with Credit Suisse in Zurich where he has lead IT units as Head Of Application Development and was Chief Of Staff for IT. Since 2016 he is in the role of a Divisional Chief Data Officer, and a data enthusiast when it comes to data management and data monetization.",Zürich Area, Switzerland,https://www.linkedin.com/in/nstue/,https://www.linkedin.com/in/nstue/,https://en.wikipedia.org/wiki/Credit_Suisse,https://www.facebook.com/NEWS9/...sturtz...norman...-/10151666879732212/,https://www.credit-suisse.com/us/en.html
7,AI & Big Data Expo,Natalie Jakomis,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Natalie-go-compare.jpg,Group Head of Data ,GoCompare,"Natalie Jakomis is Group Head of Data at GoCompare. Natalie is leading on GoCompare’s data led strategy, and is responsible for growing and enhancing a highly talented and multi-skilled data function, and cultivating a sustainable data and analytics culture that supports the businesses vision. Natalie is passionate about providing decision-ready data and business intelligence strategies, and is experienced in developing and deploying data science models and solutions, within a customer-centric business.", Newport, United Kingdom,https://uk.linkedin.com/in/natalie-jakomis-68ba3254,https://twitter.com/nataliejakomis?lang=en,https://en.wikipedia.org/wiki/Gocompare.com,https://en-gb.facebook.com/public/Natalie-Jakomis,https://www.gocompare.com/
8,AI & Big Data Expo,Cyrille Bataller,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Cyrille-Bataller.jpg,Managing Director - Emerging Technology,Accenture Applied Intelligence,Not Available on expo,Provence-Alpes-C�te d�Azur,France,https://tw.linkedin.com/in/cyrille-bataller-b2524958/zh-tw,https://twitter.com/CyrilleBataller/status/1007613396701908993,,https://www.facebook.com/public/Cyrille-Bataller,https://www.accenture.com/cn-en/services/applied-intelligence-index
9,AI & Big Data Expo,John Park,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/John-P.jpg,Senior Software Engineer ,Airbnb,"John is a Software Engineer on the Machine Learning Infrastructure team at Airbnb. He is currently working on Bighead, an end-to-end machine learning platform. Prior to Airbnb, John worked on building a cloud-based simulation platform at Rescale. John received his Bachelor’s degree from the University of Chicago.",San Francisco Bay Area,Not Available,https://www.linkedin.com/in/justindoit,https://twitter.com/fakejohnpark,https://en.wikipedia.org/wiki/Airbnb,https://www.facebook.com/public/John-Park,https://www.airbnb.co.in/
10,AI & Big Data Expo,Abhijit Akerkar,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/ll-1.jpg,"Head of Applied Sciences, Business Integration",Lloyds Banking Group,Abhijit is an Artificial Intelligence Strategist and Business Integrator. He is bringing machine intelligence to life at the Lloyds Banking Group. His focus is on combining machine and human intelligence with data to fundamentally change the way the Bank does business and create new opportunities for customers and colleagues.,London, United Kingdom,https://uk.linkedin.com/in/abhijit-akerkar,https://twitter.com/abhijitakerkar?lang=en,https://en.wikipedia.org/wiki/Lloyds_Bank,https://www.facebook.com/LondonBusinessSchool/.../10161155734280106/,https://www.lloydsbankinggroup.com/
11,AI & Big Data Expo,Maria Crosas Batista,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Nestle.jpg,IS/IT Project Manager,Nestlé,"Data journalist and expert on conversational interfaces. Responsible for exploring new conversational A.I. technologies for 80+ Nestlé global markets. Working directly with senior business stakeholders to design, develop and launch multiple consumer focused chatbots on the Nespresso, Nescafé Dolce Gusto, Maggi and Nestlé Infant Nutrition brands platforms. Author of Dinfografia blog where she posts around data, chatbots and digital innovation.", Catalonia, Spain,https://au.linkedin.com/in/mariacrosas/en,https://es.linkedin.com/in/mariacrosas/en,https://en.wikipedia.org/wiki/Nestlé,https://www.linkedin.com/today/author/mariacrosas,https://www.nestle.in/
